id,gid,vendor,type,variants
7966958092403,gid://shopify/Product/7966958092403,Cobra,Driver,"[{'id': 43011882188915, 'price': 17199, 'name': 'Cobra LTDx Driver / 9 Degree / X-Flex Tensei AV Raw White 65', 'public_title': None, 'sku': '20430-3CBEF5D13IBBG381D7HE'}]"
7966954422387,gid://shopify/Product/7966954422387,Ping,Driver,"[{'id': 43011873833075, 'price': 29999, 'name': 'Ping G430 LST Driver / 10.5 Degree / Regular Flex Ping Alta CB Slate 55', 'public_title': None, 'sku': '21951-C0635C9CC5HH738380CD'}]"
7966940790899,gid://shopify/Product/7966940790899,Ping,Driver,"[{'id': 43011843424371, 'price': 32099, 'name': 'Ping G430 LST Driver / 10.5 Degree / Regular Flex BombTech Grenade', 'public_title': None, 'sku': '21951-7J21HF7GA27073836B45'}]"
7966940594291,gid://shopify/Product/7966940594291,Cleveland,Driver,"[{'id': 43011843194995, 'price': 11999, 'name': 'Cleveland Launcher XL Lite Driver / 10.5 Degree / Regular Flex Cypher 40 Shaft', 'public_title': None, 'sku': '18079-41CG3B3F2I51G3836B4A'}]"
7966936924275,gid://shopify/Product/7966936924275,Taylormade,Driver,"[{'id': 43011839524979, 'price': 22999, 'name': 'Taylormade SIM2 Max Driver / 10.5 Degree / Regular Flex Fujikura Ventus Blue 5', 'public_title': None, 'sku': '18235-F9D6F6J4386553832GC5'}]"
7966935416947,gid://shopify/Product/7966935416947,Cleveland,Driver,"[{'id': 43011837231219, 'price': 4899, 'name': 'Cleveland XL270 Driver / 12 Degree / Regular Flex Miyazaki C. Kua 39 Shaft', 'public_title': None, 'sku': '611-1B2598E71F1B3832GE97'}]"
7966935285875,gid://shopify/Product/7966935285875,Ping,Driver,"[{'id': 43011837100147, 'price': 8999, 'name': 'Ladies Ping G15 Driver / 10.5 Degree / Ladies Flex Ping TFC 149', 'public_title': None, 'sku': '908-2I3HCHA2C35693832GE9'}]"
7966918606963,gid://shopify/Product/7966918606963,Callaway,Driver,"[{'id': 43011816390771, 'price': 22999, 'name': 'Callaway Paradym Triple Diamond Driver / 9 Degree / Stiff Flex Aldila Rogue', 'public_title': None, 'sku': '21982-JF73EBGH714BF383BJA4'}]"
7966918508659,gid://shopify/Product/7966918508659,Callaway,Driver,"[{'id': 43011816292467, 'price': 22999, 'name': ""Callaway Paradym Triple Diamond Driver / 9 Degree / Stiff Flex Kai'Li White 60"", 'public_title': None, 'sku': '21982-27GFDDHJ9HABF383BJA4'}]"
7966916509811,gid://shopify/Product/7966916509811,Callaway,Driver,"[{'id': 43011813834867, 'price': 27999, 'name': 'Callaway Paradym Ai Smoke Max Driver / 10.5 Degree / X-Flex Denali Black 60', 'public_title': None, 'sku': '24406-2JAJ9JJ77F0HD383BJ9I'}]"
7966916378739,gid://shopify/Product/7966916378739,Ping,Driver,"[{'id': 43011813703795, 'price': 26399, 'name': 'Ping G430 SFT Driver / 10.5 Degree / Regular Flex Ping Alta CB Black 55', 'public_title': None, 'sku': '21950-416451A8CG0ID383BJ9I'}]"
7966906679411,gid://shopify/Product/7966906679411,Callaway,Driver,"[{'id': 43011802300531, 'price': 11999, 'name': 'Callaway Rogue Driver / 9 Degree / Stiff Flex Hzrdus Gen4 Silver 60 Shaft', 'public_title': None, 'sku': '509-JG2569982IA26383BJ40'}]"
7966892032115,gid://shopify/Product/7966892032115,Taylormade,Driver,"[{'id': 43011786211443, 'price': 22999, 'name': 'Taylormade Stealth Plus Driver / 10.5 Degree / Regular Flex EvenFlow Riptide 50', 'public_title': None, 'sku': '20337-7F74I1DIE5FE8383BJ29'}]"
7968726057075,gid://shopify/Product/7968726057075,Ping,Driver,"[{'id': 43014526533747, 'price': 15599, 'name': 'Ping G Series Driver / 10.5 Degree / Senior Flex Ping Alta 55 Shaft', 'public_title': None, 'sku': '902-E0B71G76254F383D87HD'}]"
7968698335347,gid://shopify/Product/7968698335347,Callaway,Driver,"[{'id': 43014422528115, 'price': 9899, 'name': 'Left Hand Callaway XR16 Driver / 10.5 Degree / Regular Flex Fujikura Speeder565', 'public_title': None, 'sku': '545-15FE87FHAG7EF383D6D0'}]"
7968628015219,gid://shopify/Product/7968628015219,Cobra,Driver,"[{'id': 43014311444595, 'price': 27499, 'name': 'Cobra Darkspeed Max Driver / 12 Degree / Senior Flex UST LINQ M40X Red 5', 'public_title': None, 'sku': '24471-HGFI676FDI04C383D3D8'}]"
7968627982451,gid://shopify/Product/7968627982451,Ping,Driver,"[{'id': 43014311411827, 'price': 32999, 'name': 'Ping G430 LST Driver / 10.5 Degree / Stiff Flex Ping Alta CB Black 55', 'public_title': None, 'sku': '21951-24J14IC736CJB383D3D8'}]"
